Gate_index;Calc-Gated_Sample-X;Calc-Gated_Sample-Z;Calc-Gated_Sample-Rz;Calc-Gated_Sample-Rx;Calc-Gated_Sample-Rs;Calc-Gated_FZPCS-X;Calc-Gated_FZPCS-Z;Calc-Gated_FZPCS-Rx;Calc-Gated_FZPCS-Rz;Raw-Gated_Sample-Xe;Raw-Gated_Sample-Xi;Raw-Gated_Sample-Ze;Raw-Gated_Sample-Zi;Raw-Gated_Sample-Zo;Raw-Gated_FZPCS-Xe;Raw-Gated_FZPCS-Xi;Raw-Gated_FZPCS-Ze;Raw-Gated_FZPCS-Zi;std(Raw-Gated_Sample-Xe);std(Raw-Gated_Sample-Xi);std(Raw-Gated_Sample-Ze);std(Raw-Gated_Sample-Zi);std(Raw-Gated_Sample-Zo);std(Raw-Gated_FZPCS-Xe);std(Raw-Gated_FZPCS-Xi);std(Raw-Gated_FZPCS-Ze);std(Raw-Gated_FZPCS-Zi);
42.000000;3.529728e-01;-3.421148e+00;2.012514e-04;1.832301e+01;-7.460387e-09;-6.104297e-05;4.874160e-04;-2.543300e-04;-5.931008e-05;-3.529992e-01;-3.529465e-01;-4.319616e+04;1.546312e+00;2.214124e+04;6.829091e-05;5.380000e-05;5.184909e-04;4.563455e-04;9.686479e-05;nan;1.068234e+01;2.179400e-04;nan;4.429980e-06;3.867814e-06;2.389957e-06;2.185221e-06;
43.000000;3.551734e-01;-3.422267e+00;1.384648e-04;1.831916e+01;-7.460387e-09;-6.120898e-05;4.874512e-04;-2.547776e-04;-5.900634e-05;-3.551915e-01;-3.551553e-01;-4.319616e+04;1.544075e+00;2.214124e+04;6.841818e-05;5.400000e-05;5.185818e-04;4.563273e-04;nan;7.626423e-05;1.068234e+01;nan;nan;3.234439e-06;2.910783e-06;2.821440e-06;2.769872e-06;
44.000000;3.579483e-01;-3.422981e+00;6.982923e-05;1.831670e+01;-7.460387e-09;-6.117969e-05;4.871895e-04;-2.550014e-04;-5.819103e-05;-3.579574e-01;-3.579391e-01;-4.319616e+04;1.542646e+00;2.214124e+04;6.829091e-05;5.407273e-05;5.183455e-04;4.560364e-04;9.234052e-05;7.207104e-05;1.068234e+01;nan;nan;4.292380e-06;3.505094e-06;2.478185e-06;2.511428e-06;
45.000000;3.610521e-01;-3.423235e+00;6.529332e-05;1.831583e+01;-7.460387e-09;-6.182812e-05;4.873477e-04;-2.552092e-04;-5.822300e-05;-3.610607e-01;-3.610436e-01;-4.319616e+04;1.542139e+00;2.214124e+04;6.894340e-05;5.471698e-05;5.185283e-04;4.561698e-04;nan;6.056472e-05;1.068234e+01;2.798388e-04;nan;3.833361e-06;3.134611e-06;2.333138e-06;2.173274e-06;
46.000000;3.641694e-01;-3.422973e+00;1.697387e-04;1.831673e+01;-7.460387e-09;-6.167383e-05;4.874980e-04;-2.552572e-04;-5.798320e-05;-3.641916e-01;-3.641472e-01;-4.319616e+04;1.542661e+00;2.214135e+04;6.875926e-05;5.459259e-05;5.186852e-04;4.563148e-04;4.223576e-05;2.734666e-05;1.068234e+01;2.647900e-04;nan;3.995030e-06;3.456161e-06;2.925467e-06;2.807028e-06;
47.000000;3.669278e-01;-3.422272e+00;2.106814e-04;1.831914e+01;-7.460387e-09;-6.117773e-05;4.872617e-04;-2.548255e-04;-5.798320e-05;-3.669554e-01;-3.669002e-01;-4.319616e+04;1.544064e+00;2.214136e+04;6.826415e-05;5.409434e-05;5.183962e-04;4.561321e-04;nan;1.462660e-05;1.068234e+01;4.809989e-04;nan;3.885836e-06;3.263643e-06;2.276370e-06;2.101463e-06;
48.000000;3.696074e-01;-3.421109e+00;6.565141e-05;1.832315e+01;-7.460387e-09;-6.161328e-05;4.871719e-04;-2.538983e-04;-5.793524e-05;-3.696160e-01;-3.695988e-01;-4.319616e+04;1.546391e+00;2.214136e+04;6.869231e-05;5.453846e-05;5.181923e-04;4.561538e-04;1.122720e-04;6.224560e-05;1.068234e+01;nan;nan;3.997782e-06;3.371057e-06;3.061683e-06;2.859207e-06;
49.000000;3.710290e-01;-3.419720e+00;-6.565141e-06;1.832793e+01;-7.460387e-09;-6.108203e-05;4.868477e-04;-2.546657e-04;-5.844681e-05;-3.710281e-01;-3.710298e-01;-4.319616e+04;1.549168e+00;2.214136e+04;6.822642e-05;5.394340e-05;5.179623e-04;4.557358e-04;6.808072e-05;8.470449e-05;1.068234e+01;1.096905e-04;6.507331e+00;4.021815e-06;3.411478e-06;2.368008e-06;2.404534e-06;
50.000000;3.714925e-01;-3.418181e+00;-1.754683e-05;1.833322e+01;-7.460387e-09;-6.130273e-05;4.866270e-04;-2.535946e-04;-5.919818e-05;-3.714902e-01;-3.714948e-01;-4.319616e+04;1.552246e+00;2.214136e+04;6.853704e-05;5.407407e-05;5.176111e-04;4.556482e-04;nan;8.304225e-05;1.068234e+01;2.921214e-04;4.692877e+00;4.499808e-06;4.054489e-06;1.883345e-06;1.750485e-06;
51.000000;3.733053e-01;-3.416669e+00;1.193662e-05;1.833843e+01;-7.460387e-09;-6.115625e-05;4.871641e-04;-2.541861e-04;-5.707197e-05;-3.733069e-01;-3.733037e-01;-4.319616e+04;1.555271e+00;2.214138e+04;6.812963e-05;5.418518e-05;5.182222e-04;4.561111e-04;6.966875e-05;nan;1.068234e+01;2.800268e-04;nan;4.570611e-06;3.939727e-06;2.622521e-06;2.467535e-06;
